Index,O,N,B,S,P,Specific surface area,Pore volume,Rmic/mes,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,target
146.0,11.92,0.0,0.0,0.0,0.0,2228.0,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,5.0,84.0
147.0,11.92,0.0,0.0,0.0,0.0,2228.0,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,10.0,75.0
148.0,5.5,2.53,0.0,0.0,0.0,947.0,0.54,1.0,0.855,1M ZnSO4,stainless-steel foil,,1.6,0.5,117.9
149.0,5.5,2.53,0.0,0.0,0.0,947.0,0.54,1.0,0.855,1M ZnSO4,stainless-steel foil,,1.6,20.0,71.0
150.0,3.67,0.0,0.0,0.0,2.71,1175.0,0.71,1.367,0.858,1M ZnSO4,stainless-steel foil,,1.6,0.5,136.2
151.0,3.67,0.0,0.0,0.0,2.71,1175.0,0.71,1.367,0.858,1M ZnSO4,stainless-steel foil,,1.6,20.0,75.9
152.0,10.41,2.37,0.0,0.0,2.1,899.0,0.52,0.576,0.856,1M ZnSO4,stainless-steel foil,,1.6,0.5,165.9
153.0,10.41,2.37,0.0,0.0,2.1,899.0,0.52,0.576,0.856,1M ZnSO4,stainless-steel foil,,1.6,20.0,110.9
154.0,,0.0,0.0,0.0,0.0,627.0,0.34,16.0,1.3,2M ZnSO4,stainless-steel mesh,2.0,1.8,0.2,142.8
155.0,,0.0,0.0,0.0,0.0,627.0,0.34,16.0,1.3,2M ZnSO4,stainless-steel mesh,2.0,1.8,7.0,7.9
156.0,,0.0,0.0,0.0,0.0,397.0,0.23,6.667,1.44,2M ZnSO4,stainless-steel mesh,2.0,1.8,0.2,112.9
157.0,,0.0,0.0,0.0,0.0,563.0,0.31,14.5,1.39,2M ZnSO4,stainless-steel mesh,2.0,1.8,0.2,191.1
158.0,,0.0,0.0,0.0,0.0,1141.0,0.61,14.25,1.38,2M ZnSO4,stainless-steel mesh,2.0,1.8,0.2,228.7
159.0,,0.0,0.0,0.0,0.0,1141.0,0.61,14.25,1.38,2M ZnSO4,stainless-steel mesh,2.0,1.8,7.0,82.3
160.0,,0.0,0.0,0.0,0.0,1294.0,0.71,6.889,1.31,2M ZnSO4,stainless-steel mesh,2.0,1.8,0.2,120.7
161.0,,0.0,0.0,0.0,0.0,1089.0,0.6,7.571,1.45,2M ZnSO4,stainless-steel mesh,2.0,1.8,0.2,164.4
162.0,,0.0,0.0,0.0,0.0,1089.0,0.6,7.571,1.45,2M ZnSO4,stainless-steel mesh,2.0,1.8,7.0,50.8
163.0,,,0.0,0.0,0.0,1210.0,,,1.28,2M ZnSO4,Carbon cloth,5.0,2.0,0.1,39.1
164.0,,,0.0,0.0,0.0,1210.0,,,1.28,2M ZnSO4,Carbon cloth,5.0,2.0,0.2,31.2
165.0,,,0.0,0.0,0.0,1210.0,,,1.28,2M ZnSO4,Carbon cloth,5.0,2.0,0.5,22.7
166.0,,,0.0,0.0,0.0,1210.0,,,1.28,2M ZnSO4,Carbon cloth,5.0,2.0,1.0,16.7
167.0,,,0.0,0.0,0.0,1210.0,,,1.28,2M ZnSO4,Carbon cloth,5.0,2.0,2.0,12.5
168.0,,,0.0,0.0,0.0,1210.0,,,1.28,2M ZnSO4,Carbon cloth,5.0,2.0,5.0,9.5
169.0,,,0.0,0.0,0.0,1210.0,,,1.28,2M ZnSO4,Carbon cloth,5.0,2.0,10.0,8.5
170.0,9.01,3.67,0.0,0.0,0.0,1739.0,,,1.54,2M ZnSO4,Carbon cloth,5.0,2.0,0.1,232.4
171.0,9.01,3.67,0.0,0.0,0.0,1739.0,,,1.54,2M ZnSO4,Carbon cloth,5.0,2.0,0.2,147.1
172.0,9.01,3.67,0.0,0.0,0.0,1739.0,,,1.54,2M ZnSO4,Carbon cloth,5.0,2.0,0.5,128.2
173.0,9.01,3.67,0.0,0.0,0.0,1739.0,,,1.54,2M ZnSO4,Carbon cloth,5.0,2.0,1.0,111.4
174.0,9.01,3.67,0.0,0.0,0.0,1739.0,,,1.54,2M ZnSO4,Carbon cloth,5.0,2.0,2.0,100.7
175.0,9.01,3.67,0.0,0.0,0.0,1739.0,,,1.54,2M ZnSO4,Carbon cloth,5.0,2.0,5.0,80.9
176.0,9.01,3.67,0.0,0.0,0.0,1739.0,,,1.54,2M ZnSO4,Carbon cloth,5.0,2.0,10.0,59.6
177.0,9.64,3.44,0.0,0.0,0.0,1624.0,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.1,119.9
178.0,9.64,3.44,0.0,0.0,0.0,1624.0,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.2,108.3
179.0,9.64,3.44,0.0,0.0,0.0,1624.0,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.5,100.2
180.0,9.64,3.44,0.0,0.0,0.0,1624.0,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,1.0,94.6
181.0,9.64,3.44,0.0,0.0,0.0,1624.0,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,2.0,90.4
182.0,9.64,3.44,0.0,0.0,0.0,1624.0,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,5.0,84.8
183.0,9.64,3.44,0.0,0.0,0.0,1624.0,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,20.0,81.1
