Current density,Specific surface area,N,Active mass loading,Pore volume,O,Rmic/mes,ID/IG,target
0.2,2038.0,2.62,1.77,1.29,4.43,0.497,1.12,93.7
0.5,2038.0,2.62,1.77,1.29,4.43,0.497,1.12,85.3
1.0,2038.0,2.62,1.77,1.29,4.43,0.497,1.12,80.3
2.0,2038.0,2.62,1.77,1.29,4.43,0.497,1.12,74.7
5.0,2038.0,2.62,1.77,1.29,4.43,0.497,1.12,68.2
10.0,2038.0,2.62,1.77,1.29,4.43,0.497,1.12,61.0
20.0,2038.0,2.62,1.77,1.29,4.43,0.497,1.12,52.8
0.1,761.62,0.0,1.2,0.9097,7.94,1.224,0.98,42.8
0.1,614.34,0.0,1.2,0.9263,3.0,0.947,1.01,83.2
0.1,1055.0,3.1,1.0,0.95,9.1,0.583,1.06,230.0
0.2,1055.0,3.1,1.0,0.95,9.1,0.583,1.06,165.0
0.5,1055.0,3.1,1.0,0.95,9.1,0.583,1.06,150.0
1.0,1055.0,3.1,1.0,0.95,9.1,0.583,1.06,137.0
2.0,1055.0,3.1,1.0,0.95,9.1,0.583,1.06,127.0
5.0,1055.0,3.1,1.0,0.95,9.1,0.583,1.06,122.0
10.0,1055.0,3.1,1.0,0.95,9.1,0.583,1.06,118.0
1.0,1613.9,1.98,10.0,0.93,11.79,11.4,0.98,233.0
2.0,1613.9,1.98,10.0,0.93,11.79,11.4,0.98,212.0
5.0,1613.9,1.98,10.0,0.93,11.79,11.4,0.98,180.5
10.0,1613.9,1.98,10.0,0.93,11.79,11.4,0.98,152.5
20.0,1613.9,1.98,10.0,0.93,11.79,11.4,0.98,124.0
50.0,1613.9,1.98,10.0,0.93,11.79,11.4,0.98,83.0
0.5,1843.0,7.2,1.0,1.1,6.1,0.447,1.01,181.0
1.0,1843.0,7.2,1.0,1.1,6.1,0.447,1.01,153.3
2.0,1843.0,7.2,1.0,1.1,6.1,0.447,1.01,137.2
3.0,1843.0,7.2,1.0,1.1,6.1,0.447,1.01,130.2
5.0,1843.0,7.2,1.0,1.1,6.1,0.447,1.01,121.7
10.0,1843.0,7.2,1.0,1.1,6.1,0.447,1.01,110.4
15.0,1843.0,7.2,1.0,1.1,6.1,0.447,1.01,104.0
0.5,543.0,6.3,1.0,0.9,4.2,0.125,0.99,110.0
1.0,543.0,6.3,1.0,0.9,4.2,0.125,0.99,97.8
2.0,543.0,6.3,1.0,0.9,4.2,0.125,0.99,89.8
3.0,543.0,6.3,1.0,0.9,4.2,0.125,0.99,84.9
5.0,543.0,6.3,1.0,0.9,4.2,0.125,0.99,78.4
10.0,543.0,6.3,1.0,0.9,4.2,0.125,0.99,67.2
15.0,543.0,6.3,1.0,0.9,4.2,0.125,0.99,58.2
0.5,1454.0,5.7,1.0,0.83,10.8,0.122,1.05,98.0
1.0,1454.0,5.7,1.0,0.83,10.8,0.122,1.05,81.7
2.0,1454.0,5.7,1.0,0.83,10.8,0.122,1.05,72.2
3.0,1454.0,5.7,1.0,0.83,10.8,0.122,1.05,67.0
5.0,1454.0,5.7,1.0,0.83,10.8,0.122,1.05,60.7
10.0,1454.0,5.7,1.0,0.83,10.8,0.122,1.05,50.9
15.0,1454.0,5.7,1.0,0.83,10.8,0.122,1.05,45.1
0.1,599.3,2.79,1.5,0.276,11.18,2.366,0.81,79.4
0.2,599.3,2.79,1.5,0.276,11.18,2.366,0.81,70.3
0.5,599.3,2.79,1.5,0.276,11.18,2.366,0.81,59.8
1.0,599.3,2.79,1.5,0.276,11.18,2.366,0.81,50.8
2.0,599.3,2.79,1.5,0.276,11.18,2.366,0.81,41.6
5.0,599.3,2.79,1.5,0.276,11.18,2.366,0.81,28.8
10.0,599.3,2.79,1.5,0.276,11.18,2.366,0.81,22.9
0.2,1021.0,6.25,10.0,1.07,9.33,1.89,0.84,122.3
0.5,1021.0,6.25,10.0,1.07,9.33,1.89,0.84,108.1
1.0,1021.0,6.25,10.0,1.07,9.33,1.89,0.84,103.8
2.0,1021.0,6.25,10.0,1.07,9.33,1.89,0.84,94.2
5.0,1021.0,6.25,10.0,1.07,9.33,1.89,0.84,85.6
10.0,1021.0,6.25,10.0,1.07,9.33,1.89,0.84,76.0
20.0,1021.0,6.25,10.0,1.07,9.33,1.89,0.84,59.1
0.2,1685.0,8.12,10.0,1.2,8.0,0.508,0.85,153.8
0.5,1685.0,8.12,10.0,1.2,8.0,0.508,0.85,146.9
1.0,1685.0,8.12,10.0,1.2,8.0,0.508,0.85,127.3
2.0,1685.0,8.12,10.0,1.2,8.0,0.508,0.85,117.0
5.0,1685.0,8.12,10.0,1.2,8.0,0.508,0.85,108.7
10.0,1685.0,8.12,10.0,1.2,8.0,0.508,0.85,95.5
20.0,1685.0,8.12,10.0,1.2,8.0,0.508,0.85,82.3
0.2,2370.0,7.83,10.0,2.18,9.75,0.319,0.85,250.0
0.5,2370.0,7.83,10.0,2.18,9.75,0.319,0.85,217.5
1.0,2370.0,7.83,10.0,2.18,9.75,0.319,0.85,184.3
2.0,2370.0,7.83,10.0,2.18,9.75,0.319,0.85,163.5
5.0,2370.0,7.83,10.0,2.18,9.75,0.319,0.85,156.8
10.0,2370.0,7.83,10.0,2.18,9.75,0.319,0.85,151.9
20.0,2370.0,7.83,10.0,2.18,9.75,0.319,0.85,149.2
0.2,2370.0,7.83,5.0,2.18,9.75,0.319,0.85,268.0
0.2,2370.0,7.83,20.0,2.18,9.75,0.319,0.85,210.0
0.2,494.0,12.14,1.0,0.27,4.41,1.7,3.1,138.5
0.5,494.0,12.14,1.0,0.27,4.41,1.7,3.1,112.9
1.0,494.0,12.14,1.0,0.27,4.41,1.7,3.1,98.1
2.0,494.0,12.14,1.0,0.27,4.41,1.7,3.1,89.3
5.0,494.0,12.14,1.0,0.27,4.41,1.7,3.1,77.6
10.0,494.0,12.14,1.0,0.27,4.41,1.7,3.1,69.0
20.0,494.0,12.14,1.0,0.27,4.41,1.7,3.1,61.8
40.0,494.0,12.14,1.0,0.27,4.41,1.7,3.1,48.7
60.0,494.0,12.14,1.0,0.27,4.41,1.7,3.1,38.7
80.0,494.0,12.14,1.0,0.27,4.41,1.7,3.1,28.8
0.2,642.0,5.19,1.0,0.58,5.51,0.184,3.5,149.9
0.5,642.0,5.19,1.0,0.58,5.51,0.184,3.5,128.2
1.0,642.0,5.19,1.0,0.58,5.51,0.184,3.5,112.4
2.0,642.0,5.19,1.0,0.58,5.51,0.184,3.5,102.5
5.0,642.0,5.19,1.0,0.58,5.51,0.184,3.5,90.9
10.0,642.0,5.19,1.0,0.58,5.51,0.184,3.5,83.2
20.0,642.0,5.19,1.0,0.58,5.51,0.184,3.5,73.8
40.0,642.0,5.19,1.0,0.58,5.51,0.184,3.5,63.3
60.0,642.0,5.19,1.0,0.58,5.51,0.184,3.5,55.4
80.0,642.0,5.19,1.0,0.58,5.51,0.184,3.5,46.9
0.2,1702.0,6.67,1.0,1.29,11.74,0.675,4.4,212.0
0.5,1702.0,6.67,1.0,1.29,11.74,0.675,4.4,189.9
1.0,1702.0,6.67,1.0,1.29,11.74,0.675,4.4,171.8
2.0,1702.0,6.67,1.0,1.29,11.74,0.675,4.4,155.1
5.0,1702.0,6.67,1.0,1.29,11.74,0.675,4.4,145.9
10.0,1702.0,6.67,1.0,1.29,11.74,0.675,4.4,134.2
20.0,1702.0,6.67,1.0,1.29,11.74,0.675,4.4,126.2
40.0,1702.0,6.67,1.0,1.29,11.74,0.675,4.4,114.0
60.0,1702.0,6.67,1.0,1.29,11.74,0.675,4.4,104.4
80.0,1702.0,6.67,1.0,1.29,11.74,0.675,4.4,93.4
0.2,1702.0,6.67,3.0,1.29,11.74,0.675,4.4,174.9
0.2,1702.0,6.67,5.0,1.29,11.74,0.675,4.4,157.2
0.2,1702.0,6.67,10.0,1.29,11.74,0.675,4.4,134.0
0.2,1702.0,6.67,20.0,1.29,11.74,0.675,4.4,107.2
0.2,1702.0,6.67,40.0,1.29,11.74,0.675,4.4,87.7
0.2,1398.16,0.53,1.0,0.79,7.41,2.03846153846154,0.7,94.6
0.5,1398.16,0.53,1.0,0.79,7.41,2.03846153846154,0.7,84.0
0.8,1398.16,0.53,1.0,0.79,7.41,2.03846153846154,0.7,80.3
1.0,1398.16,0.53,1.0,0.79,7.41,2.03846153846154,0.7,77.9
2.0,1398.16,0.53,1.0,0.79,7.41,2.03846153846154,0.7,75.0
5.0,1398.16,0.53,1.0,0.79,7.41,2.03846153846154,0.7,71.3
8.0,1398.16,0.53,1.0,0.79,7.41,2.03846153846154,0.7,67.5
10.0,1398.16,0.53,1.0,0.79,7.41,2.03846153846154,0.7,65.7
0.2,2363.18,2.16,1.0,1.33,6.75,0.6625,0.79,135.3
0.5,2363.18,2.16,1.0,1.33,6.75,0.6625,0.79,110.1
0.8,2363.18,2.16,1.0,1.33,6.75,0.6625,0.79,102.2
1.0,2363.18,2.16,1.0,1.33,6.75,0.6625,0.79,99.2
